148	𗋕	thja¹	その	ENQY
149	𘜘	rjir¹	得る	NLTBU
150	𗦇	lew²	所	AWWP
151	𗤋	mjij¹	無きが	ALMB
152	𘔼	nio̱w¹	故に	XLLA
153	𘏞	po¹	菩	RXZLL
154	𘛛	tjɨj¹	提	TZA
155	𗖚	sa²	薩	SVSBP
156	𗸰	tow¹	埵は	MASHA
157	𘄒	pa²	般	SBFTX
158	𘎑	rja²	若	RTXTX
159	𘏞	po¹	波	RXZLL
160	𗓽	lo¹	羅	TLXI
161	𗕥	bji̱²	蜜	SMZLA
162	𗸰	tow¹	多	MASHA
163	𗖵	bju¹	に依って	SVLMU
164	𗤶	nji̱j¹	心に	AVHJ
165	𗦁	ɣie²	障	AVHE
166	𗄿	lụ²	礙が	LLCLX
167	𗤋	mjij¹	無い	ALMB
168	𗦁	ɣie²	障	AVHE
169	𗄿	lụ²	礙が	LLCLX
170	𗤋	mjij¹	無い	ALMB
171	𘔼	nio̱w¹	が故に	XLLA
172	𗴒	kjạ¹	恐	VDA
173	𗃬	le²	怖が	VCXQ
174	𗅋	mji¹	～ない	LLXVO
175	𘟣	dju¹	有る	NTCLU
176	𘝅	tśhjɨ̱²	顚	MAGYP
177	𗉷	tśhju̱²	倒した	SSBA
178	𘈞	mji̱j¹	夢	WSMJD
179	𗾫	sji̱j²	想を	ZGYP
180	𗈲	khwa¹	遠	FZP
181	𗈜	ka²	離し	SRXO
182	𗩾	źji²	究	AWLI
183	𘃪	dźjwa¹	竟には	CLROA
184	𘈬	dji̱j²	涅	MZCS
185	𗦺	phã¹	槃する	AYLX
186	𘕕	sọ¹	三	FBBK
187	𘗽	zjọ²	世の	STA
188	𗱕	rjur¹	諸々の	NTLXP
189	𗢳	tha¹	佛は	AQJ
190	𘄒	pa²	般	SBFTX
191	𘎑	rja²	若	RTXTX
192	𘏞	po¹	波	RXZLL
193	𗓽	lo¹	羅	TLXI
194	𗕥	bji̱²	蜜	SMZLA
195	𗸰	tow¹	多	MASHA
196	𘕿	ɣa²	に	FQO
197	𗖵	bju¹	依って	SVLMU
198	𘔼	nio̱w¹	故に	XLLA
199	𘘦	tśhjwo¹	したがって	NAYD
200	𗠝	ˑja¹ 	阿	MEMSX
201	𗷧	du̱²	耨	MQBA
202	𗸰	tow¹	多	MASHA
203	𗓽	lo¹	羅	TLXI
204	𘋅	sã¹	三	YWS
205	𗴥	mjiw²	藐	VXWX
206	𘋅	sã¹	三	YWS
207	𘏞	po¹	菩	RXZLL
208	𘛛	tjɨj¹	提を	TZA
209	𗟧	rjir²	得る	MTTBU
210	𘌽	thjɨ²	是の	CXYBU
211	𘔼	nio̱w¹	故に	XLLA
212	𘄒	pa²	般	SBFTX
213	𘎑	rja²	若	RTXTX
214	𘏞	po¹	波	RXZLL
215	𗓽	lo¹	羅	TLXI
216	𗕥	bji̱²	蜜	SMZLA
217	𗸰	tow¹	多	MASHA
218	𗫂	tja¹	は	ATLO
219	𘜶	ljịj²	大	TLZ
220	𗼈	njạ¹	神	ALA
221	𗥺	ŋwə̱¹	咒	ANBA
222	𘟂	ŋwu²	であり	MXA
223	𘜶	ljịj²	大	TLZ
224	𗭼	swew¹	明	CLWS
225	𗥺	ŋwə̱¹	咒	ANBA
226	𘟂	ŋwu²	であり	MXA
227	𗩾	źji²	最	AWLI
228	𗨁	phju²	上	AYBO
229	𗥺	ŋwə̱¹	咒	ANBA
230	𘟂	ŋwu²	であり	MXA
231	𘜄	ŋwer¹	等	NXLNX
232	𘜄	ŋwer¹	同	NXLNX
233	𗤋	mjij¹	無	ALMB
234	𗥺	ŋwə̱¹	咒	ANBA
235	𘟂	ŋwu²	である	MXA
236	𘍔	tśjị¹	苦を	CQSX
237	𗄑	ŋowr²	一	WLDB
238	𗄑	ŋowr²	切の	WLDB
239	𗟥	tjịj¹	除くことが	MTFD
240	𗩱	njwi²	でき	ASAP
241	𘞌	źjɨr¹	真	NTNTM
242	𗒘	ɣiej¹	實にして	TZLN
243	𗅋	mji¹	～ない	LLXVO
244	𘗫	lạ¹	虚しい	SMY
245	𘌽	thjɨ²	是の	CXYBU
246	𘔼	nio̱w¹	故に	XLLA
247	𘄒	pa²	般	SBFTX
248	𘎑	rja²	若	RTXTX
249	𘏞	po¹	波	RXZLL
250	𗓽	lo¹	羅	TLXI
251	𗕥	bji̱²	蜜	SMZLA
252	𗸰	tow¹	多	MASHA
253	𗥺	ŋwə̱¹	咒を	ANBA
254	𘎪	tshji̱j¹	説く	RXSNN
255	𗥺	ŋwə̱¹	咒を	ANBA
256	𗖸	ŋwu̱¹	説いて	SVYXB
257	𘎪	tshji̱j¹	曰く	RXSNN
258	𘊾	kja̱¹	羯	YXNTU
259	𘆨	tji²	諦	NQYR
260	𘊾	kja̱¹	羯	YXNTU
261	𘆨	tji²	諦	NQYR
262	𘏞	po¹	波	RXZLL
263	𗓽	lo¹	羅	TLXI
264	𘊾	kja̱¹	羯	YXNTU
265	𘆨	tji²	諦	NQYR
266	𘏞	po¹	波	RXZLL
267	𗓽	lo¹	羅	TLXI
268	𗗆	sẽ¹	僧	SVANU
269	𘊾	kja̱¹	羯	YXNTU
270	𘆨	tji²	諦	NQYR
271	𘏞	po¹	菩	RXZLL
272	𘛛	tjɨj¹	提	TZA
273	𗡿	swa¹	薩婆	YTWX
274	𗶴	xa¹	訶	TTMBE
