Unicode	input code	full code
170E2	vlll	vllzl
170E3	vaa	vaa
170E4	vzx	vzx
170E5	vtfd	vtfd
170E6	vsbq	vsbnnq
170E7	vmju	vmtjsbu
170E8	vmsa	vmcsa
170E9	vamu	vambtmu
170EA	vaai	vaai
170EB	vcxy	vcxy
170EC	vcxq	vcxnq
170ED	vrxo	vrxo
170EE	vcxn	vcnxsnn
170EF	vsbi	vsbdjpi
170F0	vilp	vilxp
170F1	vlmu	vlmnkydqu
170F2	vlxo	vlxxo
170F3	vxcw	vxcmbw
170F4	vcsp	vcslmbp
170F5	vdxal	vydxal
170F6	vzmt	vzmsbt
170F7	vtta	vtlbta
170F8	vsrx	vsrtjx
170F9	veymq	vhhlneymdq
170FA	vcux	vcbuyrx
170FB	vrju	vrtjbtmmu
170FC	vttk	vtlbthqk
170FD	vcxb	vcxlfgb
170FE	vrju	vrtjrbtu
170FF	wbs	wbs
17100	wsx	wsx
17101	wcsp	wcsp
17102	wxwl	wxwll
17103	wxnl	wxnnjl
17104	waxn	waxnnn
17105	wxmk	wxmnk
17106	wxfd	wxfd
17107	wxdi	wxdqpi
17108	wmbe	wmbme
17109	wldx	wlydkx
1710A	wldi	wlyddjpi
1710B	wlsx	wlsxx
1710C	wxdi	wxdjpi
1710D	wxed	wxesd
1710E	wnba	wnqba
1710F	wxle	wxlme
17110	wxtp	wxtbp
17111	wldb	wlydllmsb
17112	whte	whhbtme
17113	wras	wroams
17114	wcso	wcsao
17115	wsxt	wsxmsbt
17116	wata	watla
17117	wxnx	wxntjmx
17118	wxnu	wxntydqu
17119	wxcx	wxcburx
1711A	wxhk	wxhhbthqk
1711B	wsbp	wsmbntap
1711C	wate	watlye
1711D	mlcr	mlcr
1711E	mlfd	mlfd
1711F	mlczl	mlczll
17120	mlnqp	mlnqp
17121	mlnts	mlnts
17122	mlxlx	mlxlx
17123	mlfdn	mlfdxnn
17124	mlhtd	mlhhbtfd
17125	mlfdt	mlfdhhbt
17126	mlfdw	mlfdsyw
17127	mlswk	mlsbwhqk
17128	mlmlu	mlmzlmlebtu
17129	llmsi	llmsi
1712A	lla	lla
1712B	llxnn	llznn
1712C	llmle	llmlne
1712D	llmsb	llmsb
1712E	llmnl	llmnlll
1712F	llmsp	llmsp
17130	llbqj	llbqj
17131	llal	llal
17132	llai	llai
17133	llfd	llfvd
17134	llcx	llcx
18D00	llcx	llcx
17135	llcsi	llcsi
17136	llczl	llczll
17137	lldji	lldjpi
17138	llmcl	llmczll
17139	llao	llao
1713A	llhqk	llhqk
1713B	llybp	llybp
1713C	lltbu	lltbtu
1713D	llfjb	llfjb
1713E	lltbn	lltbnnn
1713F	llclx	llclx
17140	llrx	llrx
17141	llsbw	llsbw
17142	llnqp	llnqp
17143	llnqp	llnnqp
17144	llsbp	llsbp
17145	llvhd	llvhvd
17146	lltjx	lltjx
17147	llmtx	llmtx
17148	llmfu	llmfbtu
17149	llao	llao
1714A	llxyt	llxydt
1714B	llxvo	llxvo
1714C	lltlg	lltlg
1714D	llcsp	llcmsp
1714E	llcyx	llcyx
1714F	llsgp	llsgp
17150	llsmu	llsmbtu
17151	llsyp	llsydp
17152	llzdq	llzdq
17153	llqjp	llqjsp
17154	llmjd	llmtjyd
17155	llmbm	llmbam
17156	llmxd	llmxsd
17157	llmsx	llmssx
17158	llyqo	llydqo
17159	lljsa	lljsa
1715A	llaws	llaws
1715B	llaji	llajpi
1715C	llahl	llahol
1715D	llasp	llasp
1715E	llxmn	llxmxnn
1715F	llxfd	llxfd
17160	lltjo	lltjo
17161	llclw	llclmbw
17162	llcla	llclla
17163	llchk	llchqk
17164	llcsb	llcscb
17165	llrlo	llrllo
17166	llswp	llsbwp
17167	llsxo	llsxo
17168	llnqa	llnqa
17169	llnjo	llntjbo
1716A	llntl	llntcll
1716B	llvda	llvda
1716C	llmmt	llmtjmbt
1716D	llqrx	llqrx
1716E	lltjl	lltjmhkl
1716F	llmwa	llmbwa
17170	llmux	llmburx
17171	llmtp	llmtmsp
17172	llmrp	llmrxp
17173	llasb	llasmb
17174	llazb	llazb
17175	llyba	llymba
17176	llylx	llylrx
17177	llybx	llybsx
17178	lltje	lltjmle
17179	lltja	lltja
1717A	lltla	lltlha
1717B	lltlr	lltlsr
1717C	llcmg	llcmxg
1717D	llcsk	llcmssk
1717E	llcxp	llcxsp
1717F	llrcx	llrocx
17180	llswo	llsbwo
17181	llsbl	llsbal
17182	llnqi	llnqdjpi
17183	llzxa	llzxa
17184	llvxw	llvxmbw
17185	llmjp	llmtjxp
17186	lltts	llttcms
17187	llmbi	llmsbjpi
17188	llaba	llabua
17189	llatu	llatbtu
1718A	llati	llatpi
1718B	lladi	lladqpi
1718C	llafq	llafjdq
1718D	llxve	llxvhhlne
1718E	lltlr	lltltr
1718F	lltlq	lltlfdq
17190	lltta	lltbta
17191	llcxz	llcxz
17192	llrxr	llrxmr
17193	llsxy	llsmxy
17194	llswj	llsbwqj
17195	llswa	llsbwa
17196	llnqb	llnqfmb
17197	llntx	llntgx
17198	llnqu	llnnqwbwu
17199	llnvp	llnnvxxp
1719A	llmjx	llmtjydx
1719B	llaml	llamzl
1719C	llafb	llafgb
1719D	llasl	llassbl
1719E	llxmb	llxmtjmb
1719F	llxlo	llxalo
171A0	llfba	llfgba
171A1	llcwa	llcmbwa
171A2	llclb	llcltmqb
171A3	llrxs	llrxyms
171A4	llsmy	llsmbtmy
171A5	llswi	llsbwmnpi
171A6	llsww	llsbwhw
171A7	llsxi	llsxtpi
171A8	llnqa	llnqnta
171A9	llftu	llftcbqu
171AA	llnqq	llnnqfdq
171AB	llvjb	llvhqjmsb
171AC	llmmp	llmmxtvlp
171AD	llaau	llaabu
171AE	llanu	llantsbu
171AF	lltlb	lltltmqb
171B0	llttx	lltbtrx
171B1	llcxx	llclxrx
171B2	llrxo	llrtjxo
171B3	llrxe	llrxme
171B4	llsml	llsmbtmczll
171B5	llsul	llsmbtmuczll
171B6	llnqb	llnqtmqb
171B7	llsbl	llsbntcll
171B8	llfbk	llfgbhqk
171B9	llrxg	llrxtlg
171BA	llrxa	llrxnta
171BB	llzfi	llzftpi
171BC	llvja	llvhqjcla
171BD	llylm	llylmtbam
171BE	llasb	llasxymb
171BF	llnmp	llntjmtxp
171C0	llftx	llftsdsx
171C1	lltxx	lltjxrocx
171C2	llnma	llntjmvhqja
171C3	brx	brx
171C4	bsxu	bsxu
171C5	bua	bua
171C6	owbu	owbwu
171C7	orx	orx
171C8	ocxp	ocxp
171C9	ofdk	ofdhqk
171CA	ygjl	ygjl
171CB	ylln	yllxnn
171CC	ylme	ylme
171CD	yrxl	yrxl
171CE	yllu	yllxbtu
171CF	yaxi	yaxi
171D0	yaxn	yaxnnn
171D1	yxvb	yxvmsb
171D2	yxvq	yxvydq
171D3	yxvu	yxvydqu
171D4	yhlx	yholrx
171D5	yxvx	yxvmsx
171D6	yybx	yybrx
171D7	yxvp	yxvydqp
171D8	yrxy	yrxxy
171D9	yrxp	yrxxyp
171DA	chht	chhbt
171DB	chqk	chqk
171DC	cvdj	cvdtj
171DD	cmclu	cntjmcllsbu
171DE	sfd	sfd
171DF	ssg	ssg
171E0	slli	sllmsi
171E1	sap	sap
171E2	scbu	scbqu
171E3	sjva	sjva
171E4	sax	sax
171E5	ssxp	ssxp
171E6	snll	snnllhol
171E7	ssdi	ssdjpi
171E8	sgcr	sgcr
171E9	stjl	stjnnlll
171EA	sayt	saydt
171EB	saxn	saxnnn
171EC	sclu	scllsbu
171ED	snlb	snlllyb
171EE	snlk	snnllrk
171EF	sedp	sedjkp
171F0	sgbp	sgbwp
171F1	sgcp	sgcbp
171F2	sjvu	sjvcbqu
171F3	sjvx	sjvrx
171F4	samu	sambtmu
171F5	sasx	sasx
171F6	savk	savmnk
171F7	sxhk	sxhqk
171F8	sxfq	sxfjdq
171F9	scxo	sclxo
171FA	scqn	scbqsnn
171FB	srtm	srttm
171FC	scsu	scsydqu
171FD	stjn	stjbxnn
171FE	stjx	stjnllx
171FF	shwi	shwdjpi
17200	shlx	sholrx
17201	syxll	syxlxl
17202	syxx	syxcx
17203	scxl	scxzlll
17204	ssvx	ssnvtlx
17205	snqx	snqlcx
17206	snqb	snlqymb
17207	snlo	snnlao
17208	sgtp	sgtbtp
17209	smwa	smbwlla
