Unicode	input code	full code
173FA	xsqx	xsqrx
173FB	xjsk	xjsmbunk
173FC	xcte	xcbtwe
173FD	xsql	xsqmzl
173FE	xlaa	xlailsa
173FF	xjsw	xjsvxmbw
17400	xsqx	xsqrtx
17401	xrxm	xrxsbam
17402	xrxi	xrxsbai
17403	xjsx	xjssslbxx
17404	xydj	xydj
17405	xhqk	xhqk
17406	xqjx	xqjx
17407	xsgp	xsgp
17408	xzf	xzf
17409	xtlx	xtlyx
1740A	xrtx	xrtx
1740B	xvyd	xvyd
1740C	xal	xal
1740D	xczl	xczll
1740E	xzq	xzq
1740F	xfjb	xfjb
17410	xfdq	xfdq
17411	xfdp	xfvdp
17412	xsbp	xsblp
17413	xnte	xntmle
17414	xnqq	xnlqnq
17415	xnlq	xnnllzq
17416	xfzp	xfzp
17417	xnqp	xnlqmsp
17418	xmjx	xmtjydx
17419	xljp	xlqjcsp
1741A	xrxl	xrxczll
1741B	xaam	xaatjm
1741C	xybo	xymbayo
1741D	ylnxn	ylnxnnn
1741E	ylenx	ylenx
1741F	ylwxp	ylwxp
17420	ylmbx	ylmbnx
17421	ylefb	ylefb
17422	ylefu	ylefbu
17423	ylmbn	ylmbmxnn
17424	ylmbe	ylmbme
17425	yltba	yltba
17426	ylntx	ylntrx
17427	ylxe	ylrxme
17428	yltba	yltba
17429	yltbq	yltbfjdq
1742A	tls	tls
1742B	tmle	tmle
1742C	tss	tss
1742D	tmbs	tlbs
1742E	tydu	tydqu
1742F	tlsp	tlsp
17430	tnlq	tnlq
17431	tso	tso
17432	tvlx	tvlx
17433	tgo	tgo
17434	tlmp	tlmbp
17435	tydx	tydx
17436	tlmp	tlmsp
17437	tllq	tllbq
17438	tlla	tlla
17439	tlls	tllcs
1743A	tbqb	tbqqb
1743B	ttx	ttx
1743C	trx	trx
1743D	tsvn	tsnvsnn
1743E	tfss	tfss
1743F	tnxs	tnxs
17440	tsyb	tsyb
17441	tmbn	tmbxnn
17442	tjvn	tjvxnn
17443	tmlp	tmnlllp
17444	tmzl	tmzmlll
17445	tyqp	tydqp
17446	tllx	tllox
17447	tlle	tllmlne
17448	tllb	tllmsb
17449	tllp	tllmsp
1744A	tlba	tlba
1744B	tlsu	tlsbqu
1744C	tao	tao
1744D	taf	taf
1744E	tsts	tsbts
1744F	tsla	tsla
17450	tzf	tzf
17451	teai	teai
17452	tmbl	tmbal
17453	tmau	tmbau
17454	tmee	tmlemle
17455	tmka	tmnka
17456	tllm	tllmbmtm
17457	tlln	tlltbnn
17458	tllu	tllrbtu
17459	tllq	tllfjdq
1745A	tlfq	tlfdq
1745B	tlsx	tlscx
1745C	tbxo	tbxo
1745D	tlzp	tlzlllp
1745E	thly	tholy
1745F	tamt	tambt
17460	taa	taa
17461	taf	taf
17462	tack	tack
17463	tavn	tavsnn
17464	tavn	tavsnn
17465	tcso	tcmso
17466	tcln	tcllslnn
17467	trxs	trxs
17468	tnxl	tnxcll
17469	tnxw	tnxw
1746A	tvda	tvda
1746B	tvlp	tvlsbp
1746C	texx	texx
1746D	tefq	tefjdq
1746E	tgxp	tgxip
1746F	tmtq	tmbtnlq
17470	tmdl	tmbdal
17471	tmlzp	tmlzlllp
17472	tmax	tmalx
17473	tmxe	tmxmlne
17474	tmla	tmnllla
17475	tlmd	tlmbfd
17476	tllg	tllmxg
17477	tldi	tlyddjpi
17478	tlln	tllxvsnn
17479	tllo	tllcso
1747A	tltb	tltmb
1747B	tltp	tltbtp
1747C	tlxp	tlrxp
1747D	thlj	tholtj
1747E	tagp	tagp
1747F	tamb	tamsb
17480	tayu	taydwu
17481	tala	tala
17482	tala	tala
17483	taxy	taxy
17484	taxy	taxy
17485	tadi	tadjpi
17486	tanq	tanlq
17487	tazb	tazb
17488	tcxo	tclxo
17489	tfda	tfda
1748A	trtm	trttm
1748B	tsbl	tsbal
1748C	tsxa	tsxa
1748D	tsvm	tsnvmbmtm
1748E	tsvj	tsnvnlqj
1748F	tsvq	tsnvfjdq
17490	tnqq	tnqlnq
17491	tnxs	tntxs
17492	tnap	tntap
17493	tnqa	tnlqa
17494	tnlt	tnllymbt
17495	tsfp	tsfdp
17496	tssm	tsstjm
17497	tzly	tzllly
17498	tzln	tzlllxnn
17499	tzll	tzlllcll
1749A	tvlb	tvlmzjb
1749B	teca	tecla
1749C	tglx	tgltx
1749D	twlq	twllcbq
1749E	tmbp	tmqbgp
1749F	tmtx	tmbtrx
174A0	tmzp	tmbzp
174A1	tmba	tmbyla
174A2	tmew	tmlnemw
174A3	tmeu	tmlewbwu
174A4	tmaq	tmanlq
174A5	tmxl	tmxlmxl
174A6	tmxx	tmxlyx
174A7	tlqx	tlqrx
174A8	tlmp	tlmbckp
174A9	tlmq	tlmbfjdq
174AA	tllb	tllasb
174AB	tllo	tlltjo
174AC	tlsp	tlsfdp
174AD	tlzy	tlzqy
174AE	thlx	tholtlx
174AF	thlx	tholrx
174B0	talb	talmsb
174B1	talx	talsx
174B2	talx	talsx
174B3	tacp	tackp
174B4	tanv	tanlljv
174B5	tavi	tavgpi
174B6	txlx	txlrx
174B7	tzxp	tzxp
174B8	txna	txnta
174B9	tooa	tooba
174BA	tyex	tyerx
174BB	tcqb	tclqsb
174BC	tfba	tfmba
174BD	tcxq	tcxlnq
174BE	trle	trllmlne
174BF	tclq	tczllmbq
174C0	tclb	tczllnb
174C1	tswa	tsbwa
174C2	tstx	tsbtcx
174C3	tsbo	tsbxo
174C4	tsvn	tsnvasnn
174C5	tsvl	tsnvrxl
174C6	tnqx	tnqlcx
174C7	tfyz	tfsyz
174C8	tnqi	tnlqdjpi
174C9	tnxi	tnxtpi
174CA	tnxq	tnxfjdq
174CB	tzla	tzlllha
174CC	tzqo	tzdqo
174CD	tewa	tewba
174CE	telw	tellsbw
174CF	tmjx	tmtjydx
174D0	twbo	twbxio
174D1	twxx	twxlsx
174D2	twxx	twxclx
174D3	tmbn	tmbaxnn
174D4	tmex	tmletlx
174D5	tmsx	tmssqx
174D6	tljp	tlqjcsp
174D7	tldp	tlydsqp
174D8	tlab	tlafmb
174D9	tlxn	tlrxxnn
174DA	tbjp	tbqjxip
174DB	tlse	tlsxe
174DC	thlb	tholiwb
174DD	thte	thhbtme
174DE	taml	tamzmlll
174DF	taml	tamlal
174E0	tall	talynlll
174E1	talo	talao
174E2	taxp	taxbp
174E3	tavl	tavzl
174E4	tavl	tavzl
174E5	tzll	tzlal
174E6	txib	txifgb
174E7	tyxl	tyxmal
174E8	tcwa	tcmbwa
174E9	tfbi	tfmbai
174EA	trqs	trlqws
174EB	trxi	trxai
174EC	tcsa	tcsnta
174ED	tclx	tczllclx
174EE	tswj	tsbwtj
174EF	tswx	tsbwcx
174F0	tsbo	tsbao
174F1	tsxx	tsxlsx
174F2	tnqb	tnlqfmb
174F3	tnqu	tnlqslbtu
174F4	tnqx	tnlqzx
174F5	tnxb	tnxfgb
174F6	tzxq	tzxnlq
174F7	tenp	tentmbp
174F8	tmbw	tmqbsyw
174F9	tmtp	tmbtrxp
174FA	tmaa	tmanta
174FB	tllw	tllmssyw
174FC	tllq	tllrxnq
174FD	tlxi	tlrxdjpi
174FE	tagk	tagrk
174FF	tami	tamsdjpi
17500	talp	talrkp
17501	tara	taroa
17502	tyxr	tyrxmr
17503	ttkx	ttkmxx
17504	tfbj	tfmbvhqj
17505	tfwr	tfbwyr
17506	trqx	trlqsx
17507	trqi	trlqdjpi
17508	trxb	trxfjb
17509	tsma	tsmala
1750A	tswe	tsbwhhlne
1750B	tsxx	tsxtlx
1750C	tsxa	tsxnta
1750D	tnxa	tnxclla
1750E	tzlq	tzlllyydq
1750F	teab	teawwb
17510	tesb	tesxymb
17511	tenx	tentxx
17512	tmal	tmaxal
17513	tmgx	tmxgrx
17514	tltp	tltjgxp
17515	tlfb	tlfjasb
17516	tlro	tlrtao
17517	thea	thhlnexa
17518	tatp	tatlmbp
17519	tarx	tarocx
1751A	ttxx	ttlxslx
1751B	ttxp	ttxsgp
1751C	tcla	tclltba
1751D	tfwp	tfbwybp
1751E	tcxp	tcxnqsp
1751F	tcbp	tcsbzp
17520	trqi	trlqldjpi
17521	trtp	trbtsgp
17522	trxp	trxsxp
17523	tsbp	tsmbsap
17524	tmso	tmssbao
17525	tllo	tllrtjxo
17526	taai	taatpi
17527	trqx	trlqltx
17528	trxp	trxwwbp
17529	trxu	trxlltbtu
1752A	trae	troame
1752B	tsbp	tsmbntap
1752C	tsja	tstjxa
1752D	tnlu	tntclltbtu
1752E	tnxx	tnxftsx
1752F	tnrx	tnrtjgx
17530	tesa	tesmala
17531	tlwo	tlsbwao
17532	txia	txifgba
17533	tnbp	tntmbxxp
17534	teno	tentxxo
17535	tmxa	tmtxmbua
17536	tmka	tmnksmala
17537	trxx	trxaisx
17538	tsbp	tsmbrtxp
17539	tlrx	tlrtjxgx
1753A	tsxa	tsxainta
1753B	tzmp	tzmtjmtjmp
1753C	trxo	trtjxgxo
1753D	clmbw	clmbw
1753E	clmbw	clmbw
1753F	cbp	clmbp
17540	clhht	clhhbt
17541	cbmr	cltbmr
17542	clxyp	clxyxp
17543	fnq	fnq
17544	fxox	fxox
17545	fxoj	fxobqj
17546	fclq	fczllmbq
17547	fclx	fczllyx
17548	fsbo	fsbao
17549	ffdb	ffdab
1754A	frxx	frxvrx
1754B	smtj	smtj
1754C	sma	sma
1754D	smcbu	smcbqu
1754E	smnbn	smnqbnnn
1754F	smslg	smslg
17550	smsvd	smsvd
17551	smlmp	smlmnkp
17552	smlle	smllmlne
17553	smsnb	smsnb
17554	smlyp	smlydqp
17555	smlsp	smlsbtp
17556	smaxn	smaxnnn
17557	smcso	smcmso
17558	smsll	smslmxl
17559	smsfb	smsfmb
1755A	smgbp	smgbwp
1755B	smamw	smambw
1755C	smsmi	smsmbxi
1755D	smsyp	smsyxp
1755E	smsnp	smsnlqp
1755F	smmwr	smmbwyr
17560	smmew	smmlnemw
17561	smmxx	smmxlyx
17562	smlma	smlmbua
17563	smllp	smllasp
17564	smais	smaicws
17565	smzla	smzla
17566	smrxq	smrxnq
17567	smsbi	smsbtpi
17568	smsgk	smsgrk
17569	smelw	smellsbw
1756A	smldp	smlydsqp
1756B	smalr	smalymr
1756C	smafq	smafdq
1756D	smybp	smymbxip
1756E	smsyx	smsylrx
1756F	smsbm	smsybtjm
17570	smlmm	smlmtbam
17571	smama	smamxa
17572	smybx	smymblrx
17573	smsni	smsnqbdjpi
17574	smsza	smszlba
17575	smrxd	smrtjxfd
17576	svs	snvs
17577	svsnn	snvsnn
17578	svwll	snvwll
17579	svmbt	snvmbt
1757A	svmbd	snvmbd
1757B	svbu	snvbu
1757C	svxi	snvxi
1757D	svcll	snvcll
1757E	svsbu	snvsbu
1757F	svsp	snvsp
17580	svmle	snvmlne
17581	svydu	snvydqu
17582	svlmi	snvlmsi
17583	svla	snvla
17584	sval	snval
17585	svz	snvz
17586	svcls	snvcls
17587	svczl	snvczll
17588	svsbt	snvsbt
17589	svssn	snvssnn
1758A	svmbm	snvmbmtm
1758B	svme	snvme
1758C	svmal	snvmal
1758D	svmkp	snvmnkp
1758E	svlwx	snvlwx
1758F	svsdu	snvsdqu
17590	svlmq	snvlmbq
17591	svldm	snvldmm
17592	svlla	snvlla
17593	svllb	snvllyb
17594	svlyb	snvlymb
17595	svhle	snvhhlne
17596	svylx	snvylx
17597	svrbu	snvrbtu
17598	svrx	snvrx
17599	svsbs	snvsbs
1759A	svsbp	snvsbp
1759B	svmeu	snvmlebtu
1759C	svmzl	snvmzmlll
1759D	svlti	snvltpi
1759E	svlrx	snvlrx
1759F	svao	snvao
175A0	svasn	snvasnn
175A1	svtjb	snvtjb
175A2	svtlr	snvtlr
175A3	svtlx	snvtlx
175A4	svcmw	snvcmbw
175A5	svsgp	snvsgp
175A6	svfgz	snvfgz
175A7	svzdq	snvzdq
175A8	svqjn	snvqjxnn
175A9	svtto	snvttbo
175AA	svhqx	snvhlqx
175AB	svxxp	snvxxp
175AC	svcxp	snvclxp
175AD	svcsl	snvcsgl
175AE	svwlj	snvwlllqj
175AF	svtte	snvttmle
175B0	svmrp	snvmrxp
175B1	svhlx	snvholsx
175B2	svsma	snvsmvla
175B3	svzxa	snvzxa
175B4	svzxw	snvzxw
175B5	svlmu	snvlmnkydqu
175B6	svame	snvame
175B7	svyxa	snvymxa
175B8	svyxb	snvyxtb
175B9	svsue	snvsbumlne
175BA	svsub	snvsbutmb
175BB	svsbx	snvsbclx
175BC	svzqr	snvzdqr
175BD	svmmm	snvmtjmtjm
175BE	svmtm	snvmtbam
175BF	svmti	snvmtbai
175C0	svmml	snvmbmtmmxl
175C1	svmmx	snvmbmtmsx
175C2	svbax	snvbayx
175C3	svhlq	snvholzdq
175C4	svxii	snvxiwdjpi
175C5	svtxl	snvtlxwll
175C6	svanu	snvantsbu
175C7	svcat	snvclasbt
175C8	svrju	snvrtjbtmmu
175C9	svsma	snvsmala
175CA	svsub	snvsbutmqb
175CB	svcwb	snvcmbwltb
175CC	svsva	snvsnvntjma
175CD	svzqk	snvzdqhqk
175CE	fmbtn	fmbtxnn
175CF	fmbun	fmbtuxnn
175D0	fmxlx	fmxlx
175D1	fmmxo	fmmtxo
175D2	fmmxa	fmmtxmbua
175D3	nlmbt	nllmbt
175D4	nlmnk	nllmnk
175D5	nlmcs	nllmcs
175D6	nlhht	nllhhbt
175D7	nlczl	nllczll
175D8	nlsx	nllsx
175D9	nlzll	nllzlll
175DA	nlymt	nllymbt
175DB	nlmeu	nllmlebtu
175DC	nlqja	nllqja
175DD	nlcsb	nllcsqb
175DE	nlqjx	nllqjyx
175DF	nlttx	nlltbtnx
175E0	nlrxp	nllrxsp
175E1	nlhtw	nllhhbtsyw
175E2	nlrjp	nllrtjxgp
175E3	fmbt	fmbt
175E4	fmbu	fmbtu
175E5	fa	fa
175E6	fnx	fnx
175E7	fap	fap
175E8	fmju	fmtjbtu
175E9	famt	fambt
175EA	fzo	fzo
175EB	fnxq	fnxnq
175EC	fmmb	fmbmtmsb
175ED	fwbx	fwwbrx
175EE	fmmx	fmbmtmxx
175EF	nksp	nksp
175F0	nkhht	nkhhbt
175F1	nkfd	nkfd
175F2	nkczl	nkczll
175F3	nknvj	nknnvnnj
175F4	nkwbu	nkwbwu
175F5	nklsu	nklsbtu
175F6	nktpi	nktpi
18D01	nktpi	nktpi
175F7	nkrbu	nkrbtu
175F8	nkrxn	nkrxnnn
175F9	nksz	nksz
175FA	nkab	nkab
175FB	nksba	nksba
175FC	nkhlt	nkhhllhhbt
175FD	nkfda	nkfda
175FE	nkrxo	nkrxo
175FF	nkntx	nkntsx
17600	nkntu	nkntsbtu
17601	nkmeu	nkmlewbwu
17602	nkcqp	nkclqsp
17603	nkcut	nkcbumsbt
17604	nkntk	nknthqk
17605	nkcat	nkclasbt
17606	nkntk	nkntmbunk
17607	nkcaq	nkclafjdq
17608	njnnn	nnjnnn
17609	njmg	nnjmg
1760A	njlmo	nnjlmo
1760B	njlnj	nnjlnnj
1760C	njla	nnjla
1760D	njlmw	nnjlmw
1760E	njmba	nnjmba
1760F	njlme	nnjlme
17610	njlhk	nnjlhqk
17611	njlcx	nnjlclx
17612	njlrx	nnjlrx
17613	njtxn	nnjtxnn
17614	njsyw	nnjsyw
17615	njmju	nnjmtjbtu
17616	njbrx	nnjbrx
17617	njmjb	nnjmtjcb
17618	njohl	nnjohqkl
17619	njmgk	nnjmghqk
1761A	njtmp	nnjtmqbp
1761B	njsma	nnjsmyda
1761C	njrxi	nnjrxlldjpi
1761D	nlcs	nnllcs
1761E	nlal	nnllal
1761F	nlz	nnllz
17620	nlww	nnllww
17621	nllyx	nnlllyx
17622	nlzlb	nnllzlb
17623	nlsbi	nnllsbtpi
17624	zlle	zllmne
17625	zlbx	zlbx
17626	zlcx	zlcx
17627	zlsu	zlsbtu
17628	zlxo	zlxo
17629	zlxx	zlxx
1762A	zlfq	zlfjdq
1762B	zxbp	zxbp
1762C	zxbx	zxbx
1762D	zza	zza
1762E	zalp	zalxp
1762F	vva	vjva
17630	vlsb	vnlsb
17631	vnlqq	vnlqq
17632	qja	qja
17633	qjclx	qjclx
17634	qjtjl	qjtjnll
17635	qjrjd	qjrtjfd
17636	wlr	wllr
17637	wlmle	wllmle
17638	wlvyd	wllvyd
17639	wlvyu	wllvydu
1763A	wlmsb	wllmsb
1763B	wllnq	wlllnq
1763C	wlkx	wllkx
1763D	wlcx	wllcx
1763E	wlnw	wllnw
1763F	wlzll	wllzlll
17640	wltsn	wlltsnn
17641	wlfjb	wllfjb
17642	wlcls	wllclls
17643	wlcbq	wllcbq
17644	wlckp	wllckp
17645	wlrbu	wllrbtu
17646	wlsxi	wllsxi
17647	wlmel	wllmlennll
17648	wlmcu	wllmcbwu
17649	wllsw	wlllsbw
1764A	wlhlb	wllhllwb
1764B	wlasn	wllasnn
1764C	wlxme	wllxmle
1764D	wltlx	wlltlx
1764E	wlta	wllta
1764F	wltw	wlltw
17650	wlssl	wllssbl
17651	wlfsb	wllfsmb
17652	wlwba	wllwba
17653	wlmbz	wllmbz
17654	wlorx	wllorx
17655	wlamr	wllamr
17656	wlylx	wllylsx
17657	wltbo	wlltbo
17658	wlsto	wllsbto
17659	wlntb	wllntwb
1765A	wlntu	wllntbwu
1765B	wlntl	wllntcll
1765C	wlvdj	wllvdtj
1765D	wlqjd	wllqjfd
1765E	wlmjb	wllmtjcb
1765F	wlasb	wllasmb
17660	wltjw	wlltjwbw
17661	wlrxn	wllrocxnnn
17662	wlsxb	wllsxymb
17663	wlsvx	wllsnvtlx
17664	wlntq	wllntclq
17665	wlnau	wllntambtmu
17666	wlrtl	wllrtxcll
17667	wlsbu	wllsmbntsbu
17668	wllrx	wlllrtjgx
17669	wlami	wllatjmdjpi
1766A	wlnaa	wllntanta
1766B	wlztx	wllztsbx
1766C	mtbtu	mtbtwu
1766D	wbmle	wbmlne
1766E	wbsx	wbsx
1766F	wbdji	wbdjpi
17670	wbhqk	wbhqk
17671	wlcbu	wllcbqu
17672	wbrx	wbrx
17673	wbyxp	wbyxp
17674	wbay	wbay
17675	wsmr	wsmr
17676	wsmnk	wsmnk
17677	wsa	wsa
17678	wsmsb	wsmsb
17679	wslz	wslz
1767A	wsymx	wsymx
1767B	wstpi	wstpi
1767C	wscmw	wscmbw
1767D	wstbp	wstbp
1767E	wszo	wszo
1767F	wstsx	wstsx
17680	wsnmx	wsntjmnx
17681	wsmjx	wsmtjydx
17682	wsrju	wsrtjbtmmu
17683	tjb	tjb
17684	tjnll	tjnll
17685	tjf	tjf
17686	tjck	tjck
17687	tjsb	tjsb
17688	tjgnn	tjgnnnn
17689	tjllx	tjllx
1768A	tjal	tjal
1768B	tjyx	tjyx
1768C	tjcr	tjcr
1768D	tjfd	tjfd
1768E	tjeon	tjeonnn
1768F	tjeo	tjeo
17690	tjgx	tjgx
17691	tjmsu	tjmsbu
17692	tjlyx	tjlyx
17693	tjba	tjba
17694	tjbxi	tjbxi
17695	tjain	tjainnn
17696	tjxbu	tjxbtu
17697	tjxsn	tjxsnn
17698	tjcws	tjcws
17699	tjfmb	tjfmb
1769A	tjrx	tjrx
1769B	tjnlx	tjnllx
1769C	tjnva	tjnnva
1769D	tjsmx	tjsmx
1769E	tjfjq	tjfjdq
1769F	tjemt	tjembt
176A0	tjebu	tjebqu
176A1	tjmln	tjmllxnn
176A2	tjmeo	tjmleo
176A3	tjmss	tjmslms
176A4	tjljs	tjlqjs
176A5	tjban	tjbannn
176A6	tjbz	tjbz
176A7	tjlfq	tjlfjdq
176A8	tjao	tjao
176A9	tjxlx	tjxlx
176AA	tjzs	tjzs
176AB	tjtme	tjtmle
176AC	tjtlx	tjtlx
176AD	tjcun	tjcbuynnn
176AE	tjfdp	tjfdp
176AF	tjfr	tjfr
176B0	tjckr	tjckr
176B1	tjcso	tjcso
176B2	tjczl	tjczlll
176B3	tjsxp	tjsxp
176B4	tjnta	tjnta
176B5	tjnxu	tjnxbtu
176B6	tjsfd	tjsfd
176B7	tjsst	tjssbt
176B8	tjvdn	tjvdsnn
176B9	tjeox	tjeox
176BA	tjean	tjeannn
176BB	tjwwp	tjwwbp
176BC	tjgfd	tjgfd
176BD	tjwba	tjwba
176BE	tjmqk	tjmbqnk
176BF	tjmbl	tjmbal
176C0	tjmen	tjmlevsnn
176C1	tjmkk	tjmnkmnk
176C2	tjmka	tjmnka
176C3	tjllu	tjlltbtu
176C4	tjllp	tjllnnqp
176C5	tjbrx	tjbrx
176C6	tjbsu	tjbsxu
176C7	tjlsd	tjlsfd
176C8	tjay	tjay
176C9	tjab	tjab
176CA	tjaa	tjaa
176CB	tjaa	tjaa
176CC	tjaxn	tjaxnn
176CD	tjxlq	tjxllq
176CE	tjxbx	tjxbx
176CF	tjttl	tjtbtll
176D0	tjcxl	tjclxll
176D1	tjcbs	tjcsbs
176D2	tjnqq	tjnqnq
176D3	tjnvx	tjnnvrx
176D4	tjshk	tjshqk
176D5	tjzcx	tjzcx
176D6	tjvtu	tjvtlbtu
176D7	tjvqp	tjvnlqp
176D8	tjela	tjelha
176D9	tjetx	tjetx
176DA	tjecx	tjeclx
176DB	tjesw	tjesbw
176DC	tjesp	tjesbp
176DD	tjgap	tjgap
176DE	tjgxp	tjgxip
176DF	tjgcp	tjgcbp
176E0	tjgsp	tjgsbp
176E1	tjwbt	tjwbhhbt
176E2	tjwxa	tjwxa
176E3	tjmmx	tjmbmtmx
176E4	tjmxp	tjmbxhp
176E5	tjmbx	tjmbrx
176E6	tjjvx	tjjvrx
176E7	tjyqn	tjydqxnn
176E8	tjllo	tjllxvo
176E9	tjltp	tjltbtp
176EA	tjlko	tjlrko
176EB	tjbwl	tjbwzlll
176EC	tjamq	tjambq
176ED	tjame	tjamlne
176EE	tjaml	tjamxl
176EF	tjami	tjamnpi
176F0	tjala	tjala
176F1	tjala	tjala
176F2	tjaxy	tjaxy
176F3	tjayr	tjayr
176F4	tjaii	tjaimsi
176F5	tjafd	tjafd
176F6	tjadi	tjadjpi
176F7	tjanq	tjannlq
176F8	tjazd	tjazd
176F9	tjxlx	tjxlcx
176FA	tjxch	tjxcbhh
176FB	tjxix	tjxix
176FC	tjxvi	tjxvgpi
176FD	tjxvq	tjxvydq
176FE	tjtto	tjtbto
176FF	tjtxn	tjtxsnn
17700	tjtka	tjtka
17701	tjclx	tjcllsx
17702	tjchp	tjcbhhhp
17703	tjcxq	tjcxnq
17704	tjrjx	tjrtjx
17705	tjrxr	tjrxr
17706	tjsha	tjshba
17707	tjssu	tjssybtu
17708	tjnqq	tjnqlnq
17709	tjnas	tjntas
1770A	tjnlx	tjnlllsx
1770B	tjnlt	tjnllymbt
1770C	tjnbr	tjnqbmr
1770D	tjnxu	tjnxmbqu
1770E	tjfeb	tjfefb
1770F	tjnvt	tjnnvmlebt
17710	tjnvu	tjnnvmlebtu
17711	tjzcx	tjzclx
17712	tjewj	tjewllqj
17713	tjema	tjemba
17714	tjwws	tjwbwcs
17715	tjgsp	tjgsxp
17716	tjwsi	tjwstpi
17717	tjjlw	tjjlrbw
17718	tjmte	tjmbtme
17719	tjmtx	tjmbtrx
1771A	tjmew	tjmlnemw
1771B	tjmxl	tjmxlmxl
1771C	tjmxx	tjmxlyx
1771D	tjmxo	tjmxxo
1771E	tjlgx	tjlgrx
1771F	tjllo	tjlltjo
17720	tjllb	tjllcscb
17721	tjbaw	tjbaw
17722	tjhlk	tjhhlllrk
17723	tjalb	tjalmsb
17724	tjalx	tjalsx
17725	tjhks	tjhqkws
17726	tjaiu	tjaiydqu
17727	tjaii	tjailmsi
17728	tjafq	tjafjdq
17729	tjazx	tjazx
1772A	tjzlx	tjzlnx
1772B	tjxia	tjxiba
1772C	tjxsp	tjxsxp
1772D	tjxst	tjxsnvydt
1772E	tjxsi	tjxsnvxi
1772F	tjybi	tjymbvxi
17730	tjttn	tjtbtxnn
17731	tjtbd	tjtbfd
17732	tjctl	tjcbtmxl
17733	tjfdt	tjfdhhbt
17734	tjfdi	tjfdai
17735	tjfch	tjfcbhh
17736	tjcxq	tjcxlnq
17737	tjcxx	tjcxyx
17738	tjcxx	tjcxcx
17739	tjcby	tjcsby
1773A	tjrxy	tjrxy
1773B	tjrxt	tjrxmbt
1773C	tjrxe	tjrxmle
1773D	tjrxn	tjrxxnn
1773E	tjrxn	tjrxxnnn
1773F	tjrky	tjrkksy
17740	tjrkd	tjrkfd
17741	tjclx	tjczllwx
17742	tjsqz	tjsqz
17743	tjskb	tjsknb
17744	tjsbo	tjsbxo
17745	tjsxb	tjsxmqb
17746	tjsvo	tjsnvao
17747	tjnqj	tjnqvhqj
17748	tjfsa	tjfssa
17749	tjnlu	tjnllntbtu
1774A	tjzlz	tjzlllz
1774B	tjzqo	tjzdqo
1774C	tjema	tjembha
1774D	tjemj	tjemleqj
1774E	tjebx	tjebqnx
1774F	tjgwp	tjgwwbp
17750	tjgto	tjgtbo
17751	tjwwy	tjwbwksy
17752	tjwbo	tjwbxio
17753	tjwbp	tjwbyxp
17754	tjmas	tjmbacs
17755	tjmea	tjmlexa
17756	tjlda	tjlydnta
17757	tjllp	tjllcxsp
17758	tjlse	tjlsxe
17759	tjhti	tjhhbttpi
1775A	tjhtq	tjhhbtfjdq
1775B	tjhtx	tjhhbtzx
1775C	tjher	tjhhlnecr
1775D	tjaga	tjaga
1775E	tjamp	tjambp
1775F	tjaml	tjamzoll
17760	tjaao	tjaao
17761	tjana	tjanta
17762	tjzfb	tjzfjb
17763	tjxys	tjxybws
17764	tjxib	tjxifgb
17765	tjybp	tjymbxip
17766	tjyxp	tjyxap
17767	tjcxr	tjclxyr
17768	tjcxx	tjclxsx
17769	tjcqx	tjcbqsx
1776A	tjfdx	tjfdrx
1776B	tjrtb	tjrbtymb
1776C	tjrxp	tjrxmsp
1776D	tjrxt	tjrxhhbt
1776E	tjrxb	tjrxymb
1776F	tjrxx	tjrxyx
17770	tjcsw	tjcslybw
17771	tjcsa	tjcsnta
17772	tjsxy	tjsmxxy
17773	tjsbo	tjsbao
17774	tjsxm	tjsxmbmtm
17775	tjsxt	tjsxmsbt
17776	tjnqx	tjnqsbx
17777	tjnkk	tjnkmbunk
17778	tjfaq	tjfasq
17779	tjvqi	tjvnlqspi
1777A	tjelo	tjellxvo
1777B	tjefw	tjefbw
1777C	tjenm	tjentntm
1777D	tjman	tjmbasnn
1777E	tjmwa	tjmbwnta
1777F	tjmtp	tjmbtrxp
17780	tjmka	tjmnkbua
17781	tjlwa	tjlsbwa
17782	tjhtp	tjhhbttqp
17783	tjhtw	tjhhbtsyw
17784	tjhtp	tjhhbtnlqp
17785	tjamz	tjambz
17786	tjalw	tjallsbw
17787	tjata	tjatla
17788	tjaso	tjasbto
17789	tjzyo	tjzybuo
1778A	tjzfq	tjzfdq
1778B	tjxrx	tjxrtx
1778C	tjybo	tjymbao
1778D	tjyxi	tjylxtpi
1778E	tjylu	tjyalsbtu
1778F	tjyxx	tjyxbsx
17790	tjyxr	tjyrxmr
17791	tjtsp	tjtsfdp
17792	tjfwr	tjfbwyr
17793	tjcte	tjcbtwe
17794	tjcap	tjcbasp
17795	tjrxo	tjrtjxo
17796	tjrxx	tjrxrx
17797	tjrxq	tjrxfjdq
17798	tjsqb	tjsqmzjb
17799	tjsxe	tjsxce
1779A	tjnau	tjntambtmu
1779B	tjvjq	tjvhqjymdq
1779C	tjenx	tjentxx
1779D	tjwbi	tjwbaspi
1779E	tjmma	tjmbmtmnta
1779F	tjmxn	tjmxtxsnn
177A0	tjyqy	tjydqxvy
177A1	tjhex	tjhhlnetlx
177A2	tjarx	tjartx
177A3	tjaio	tjaitjo
177A4	tjaio	tjaisbto
177A5	tjann	tjanlqjsnn
177A6	tjzra	tjzroa
177A7	tjxcx	tjxcllrx
